"ts","density_mean","density_noise_sd","velocity_mean","velocity_noise_sd","temperature_mean","temperature_noise_sd"
0.5,2.04576271186441,0.375436624829795,556.810169491525,16.5022992217016,134254.237288136,45147.7093921138
1.49166666666667,2.25932203389831,0.500105856912886,575.850847457627,7.76614723992586,138283.333333333,38179.2981959394
2.49166666666667,1.91333333333333,0.601831010310828,558.084745762712,12.6791166884764,106823.333333333,52923.2200221616
3.49166666666667,2.03728813559322,0.606109248446707,549.346551724138,17.8300282975353,107413.333333333,69068.0354007865
4.49166666666667,1.61833333333333,0.395440110959842,533.876666666667,10.0778893180737,125690,28721.9054574613
5.49166666666667,1.71333333333333,0.315941781091941,508.216666666667,11.6135363257149,125333.333333333,30260.4223535784
6.49166666666667,2.00166666666667,0.344164426607941,522.873333333333,12.0915643892149,135333.333333333,51203.3218323447
7.49166666666667,1.98,0.390986005500421,541.44,19.1290186132834,133050,43006.3369394459
8.49166666666667,2.16166666666667,0.181674570916004,520.885,9.27217756711757,127350,23222.3115002023
9.49166666666667,1.97666666666667,0.0977139836403678,501.13,2.73740515920639,121116.666666667,9981.68435680422
10.4916666666667,1.85666666666667,0.0699273230466788,480.132203389831,1.88921080749627,142683.333333333,4795.80207203386
11.4916666666667,2.86779661016949,0.149327996620569,471.948275862069,7.96196131126483,93668.3333333333,39870.2478882019
12.4916666666667,4.07118644067797,0.306651410757065,450.14406779661,6.0142078022564,48738.3333333333,28506.3945646139
13.4916666666667,4.53050847457627,0.944780612271258,444.11186440678,8.66539958860802,51295,22931.0966792967
14.4916666666667,4.13666666666667,0.629357128727582,450.076666666667,7.52635970409867,53095,14517.7634228644
15.4916666666667,3.95166666666667,0.221773794257142,456.728333333333,2.08280287031926,38991.6666666667,2564.74302409832
16.4916666666667,4.10333333333333,0.347566194971556,449.726666666667,2.35169370387305,40611.6666666667,6492.56941642665
17.4916666666667,4.24333333333333,0.446565677089946,445.873333333333,2.38841069536156,43841.6666666667,6921.56112987354
18.4916666666667,4.91833333333333,0.3075830694833,438.553333333333,1.68372988560625,54208.3333333333,6204.49513554533
19.4916666666667,5.44915254237288,1.18971316831727,436.020689655172,8.04920238849223,57001.6666666667,32782.9833907776
20.4916666666667,5.10862068965517,0.445813862503175,434.159649122807,4.50101510407995,62610,36020.1943908525
21.4916666666667,5.12321428571429,0.559674458636978,439.232142857143,1.73829418300432,53308.3333333333,27694.6842173422
22.4916666666667,4.76785714285714,0.266817453597951,438.932142857143,3.05969455489118,48951.6666666667,37835.3573838226
23.4916666666667,4.56610169491525,0.891715113786822,434.440677966102,10.9145237148525,58526.6666666667,38423.1156884634
24.4916666666667,5.185,1.03741312344724,437.51,9.56279809180518,69208.3333333333,26645.1731353435
25.4916666666667,5.24666666666667,0.902969051155483,431.806666666667,8.99906633575141,56060,18631.3613108056
26.4916666666667,5.04,1.07797152043552,428.158333333333,10.3848078683853,46106.6666666667,15363.310539544
27.4916666666667,5.60677966101695,1.21271512157707,427.284482758621,11.9634392398723,58858.3333333333,27088.8681871542
28.4916666666667,6.05833333333333,0.664227468378631,426.310169491525,10.371906942992,69396.6666666667,40334.2395308387
29.4916666666667,5.48833333333333,0.911223179915776,413.73,10.0649158502914,56566.6666666667,18063.057783697
30.4916666666667,6.73666666666667,1.20851381858774,417.065,11.9368890088264,76500,29509.727209854
31.4916666666667,10.07,1.80832584809302,433.766666666667,12.7320427437775,115161.666666667,36316.0092944344
32.4916666666667,10.345,0.937437003533155,442.743333333333,6.9576562307999,110630,18745.2110645121
33.4916666666667,6.275,0.528217875780236,448.341666666667,8.53716633547385,95533.3333333333,11881.4410423542
34.4916666666667,4.995,0.412255748607447,444.313333333333,2.02646612894255,82823.3333333333,5007.53415416058
35.4916666666667,4.125,0.611047077624504,437.123728813559,3.02230266016343,92133.3333333333,23907.6717469849
36.4916666666667,5.97241379310345,0.705525501853926,433.942105263158,8.50193384504494,100831.666666667,49854.0881141649
37.4916666666667,8.64067796610169,0.803724526897958,416.03220338983,7.92098028634516,109700,25521.6325102588
38.4916666666667,4.89830508474576,11.952220827393,417.03220338983,6.30368720917192,79513.3333333333,40024.6842974101
39.4916666666667,3.76333333333333,0.663705996445349,422.176666666667,3.35124397175021,49011.6666666667,5428.70873514812
40.4916666666667,3.14666666666667,0.306520476085835,411.611666666667,1.68194466410383,57531.6666666667,2755.23692419991
41.4916666666667,4.57166666666667,0.760017841003794,395.67,1.96079080091981,47946.6666666667,3837.33186201155
42.4916666666667,6.68833333333333,0.688113362753551,382.665,3.15007667380453,41708.3333333333,8685.56110745946
43.4916666666667,7.31833333333333,1.09151840542362,379.423728813559,5.67439726637511,43560,13199.6459248865
44.4916666666667,10.2881355932203,1.94647369121985,383.028813559322,6.64849654175019,51301.6666666667,30295.0936715002
45.4916666666667,10.6833333333333,1.62043012355076,380.5,6.35278161444059,53628.3333333333,28637.0308149833
46.4916666666667,17.9709090909091,4.71400691816312,372.603636363636,7.98570764119325,40570,43813.9885241629
47.4916666666667,13.1375,4.34283229099309,375.7875,1.83307141965681,41633.3333333333,35041.5103317149
48.4916666666667,10.5133333333333,5.27248909367652,376.07,7.83891783145873,56143.3333333333,26744.9134506026
49.4916666666667,7.04166666666667,1.57114787646406,434.81186440678,17.9602956603082,132251.666666667,55880.0934558342
50.4916666666667,8.32833333333333,2.50422185891028,422.32,12.9876468904653,201733.333333333,46464.2844431458
51.4916666666667,14.1672413793103,4.35219566918322,426.801724137931,13.9381871736719,161700,85750.2137171819
